Home,Away,score,stadium,matchlink,Season,Home_goal,Home_goal_times,Away_goal,Away_goal_times,Home_assist,Home_assist_times,Away_assist,Away_assist_times,Home_Clearances,Away_Clearances,Home_Corners,Away_Corners,Home_Fouls conceded,Away_Fouls conceded,Home_Offsides,Away_Offsides,Home_Passes,Away_Passes,Home_Possession %,Away_Possession %,Home_Shots,Away_Shots,Home_Shots on target,Away_Shots on target,Home_Tackles,Away_Tackles,Home_Touches,Away_Touches,Home_Yellow cards,Away_Yellow cards,Home_Red cards,Away_Red cards,Referee,Match_Date,Attendance,Home_formation,Away_formation,Home_captain,Away_captain,Home_starting_lineup,Home_subs_lineup,Home_subout,Home_subout_time,Home_subin,Home_subin_time,Home_yellow,Home_red,Away_starting_lineup,Away_subs_lineup,Away_subout,Away_subout_time,Away_subin,Away_subin_time,Away_yellow,Away_red
Leicester,Aston Villa,4-0, King Power Stadium,http://www.premierleague.com/match/46889,2019/20,"Harvey Barnes,Jamie Vardy,Jamie Vardy,Harvey Barnes","40,63,79,85",,,"Marc Albrighton,Marc Albrighton","40,85",,,12,22,9,0,15,12,3,2,543,301,64.6,35.4,15,4,0.0,0.0,24,23,757,510,2,1,0.0,0.0,Michael Oliver,1583784000000,32125,4-1-4-1,4-1-4-1,Kasper Schmeichel,Jack Grealish,"Kasper Schmeichel,James Justin,Çaglar Söyüncü,Ricardo Pereira,Jonny Evans,Wilfred Ndidi,James Maddison,Harvey Barnes,Marc Albrighton,Dennis Praet,Kelechi Iheanacho","Danny Ward,Christian Fuchs,Wes Morgan,Youri Tielemans,Nampalys Mendy,Jamie Vardy,Ayoze Pérez","Kelechi Iheanacho,Dennis Praet,Wilfred Ndidi","59,76,83","Jamie Vardy,Youri Tielemans,Nampalys Mendy","59,76,83","Jonny Evans,Dennis Praet",,"Pepe Reina,Björn Engels,Matt Targett,Tyrone Mings,Frederic Guilbert,Conor Hourihane,Jack Grealish,Marvelous Nakamba,Ahmed El Mohamady,Douglas Luiz,Mbwana Samatta","Ørjan Nyland,Ezri Konsa Ngoyo,Neil Taylor,Daniel Drinkwater,Anwar El Ghazi,Trézéguet,Keinan Davis","Ahmed El Mohamady,Conor Hourihane","63,67","Anwar El Ghazi,Keinan Davis","63,67",Conor Hourihane,
Chelsea,Everton,4-0, Stamford Bridge,http://www.premierleague.com/match/46887,2019/20,"Mason Mount,Pedro,Willian,Olivier Giroud","14,21,51,54",,,"Pedro,Ross Barkley,Ross Barkley,Willian","14,21,51,54",,,12,11,6,1,8,10,0,1,646,415,60.2,39.8,17,3,0.0,0.0,13,15,823,571,1,2,0.0,0.0,Kevin Friend,1583676000000,40694,4-3-3,4-4-2,César Azpilicueta,Gylfi Sigurdsson,"Kepa Arrizabalaga,César Azpilicueta,Marcos Alonso,Kurt Zouma,Antonio Rüdiger,Ross Barkley,Mason Mount,Billy Gilmour,Pedro,Olivier Giroud,Willian","Willy Caballero,Reece James,Fikayo Tomori,Andreas Christensen,Faustino Anjorin,Armando Broja,Michy Batshuayi","Mason Mount,Willian,Olivier Giroud","60,71,86","Reece James,Faustino Anjorin,Armando Broja","60,71,86",Kurt Zouma,,"Jordan Pickford,Djibril Sidibé,Mason Holgate,Michael Keane,Lucas Digne,Gylfi Sigurdsson,Tom Davies,Bernard,André Gomes,Richarlison,Dominic Calvert-Lewin","Maarten Stekelenburg,Leighton Baines,Yerry Mina,Alex Iwobi,Anthony Gordon,Moise Kean,Theo Walcott","Bernard,Tom Davies,Dominic Calvert-Lewin","45,58,76","Theo Walcott,Moise Kean,Anthony Gordon","45,58,76","Mason Holgate,André Gomes",
Man Utd,Man City,2-0, Old Trafford,http://www.premierleague.com/match/46891,2019/20,"Anthony Martial,Scott McTominay","30,90",,,Bruno Fernandes,30,,,33,8,2,11,11,9,1,2,294,761,27.7,72.3,12,7,0.0,0.0,19,15,488,948,2,4,0.0,0.0,Mike Dean,1583685000000,73288,3-4-1-2,4-3-3,Harry Maguire,Fernandinho,"David de Gea,Harry Maguire,Luke Shaw,Victor Lindelöf,Aaron Wan-Bissaka,Nemanja Matic,Fred,Brandon Williams,Daniel James,Anthony Martial,Bruno Fernandes","Sergio Romero,Eric Bailly,Axel Tuanzebe,Scott McTominay,Juan Mata,Mason Greenwood,Odion Ighalo","Anthony Martial,Brandon Williams,Bruno Fernandes","78,78,88","Eric Bailly,Scott McTominay,Odion Ighalo","78,78,88","Harry Maguire,Fred",,"Ederson,Fernandinho,Oleksandr Zinchenko,João Cancelo,Nicolás Otamendi,Bernardo Silva,Ilkay Gündogan,Rodrigo,Phil Foden,Raheem Sterling,Sergio Agüero","Claudio Bravo,Benjamin Mendy,Eric García,Kyle Walker,David Silva,Gabriel Jesus,Riyad Mahrez","Bernardo Silva,Sergio Agüero,Oleksandr Zinchenko","59,59,77","Gabriel Jesus,Riyad Mahrez,Benjamin Mendy","59,59,77","Fernandinho,João Cancelo,Rodrigo,Gabriel Jesus",
Liverpool,Bournemouth,2-1, Anfield,http://www.premierleague.com/match/46890,2019/20,"Mohamed Salah,Sadio Mané","24,33",Callum Wilson,9,"Sadio Mané,Virgil van Dijk","24,33",Jefferson Lerma,9,20,43,9,4,10,12,1,5,729,246,74.5,25.5,14,6,0.0,0.0,7,9,917,419,0,1,0.0,0.0,Paul Tierney,1583584200000,53323,4-3-3,4-1-4-1,James Milner,Steve Cook,"Adrián,Joseph Gomez,Virgil van Dijk,James Milner,Trent Alexander-Arnold,Georginio Wijnaldum,Alex Oxlade-Chamberlain,Fabinho,Roberto Firmino,Mohamed Salah,Sadio Mané","Andy Lonergan,Joel Matip,Neco Williams,Naby Keita,Adam Lallana,Divock Origi,Takumi Minamino","Alex Oxlade-Chamberlain,Roberto Firmino","84,90","Adam Lallana,Divock Origi","84,90",,,"Aaron Ramsdale,Adam Smith,Steve Cook,Jack Stacey,Nathan Aké,Junior Stanislas,Jefferson Lerma,Lewis Cook,Ryan Fraser,Philip Billing,Callum Wilson","Artur Boruc,Diego Rico,Jack Simpson,Dan Gosling,Andrew Surman,Dominic Solanke,Sam Surridge","Steve Cook,Junior Stanislas,Jefferson Lerma","19,68,80","Jack Simpson,Dominic Solanke,Dan Gosling","19,68,80",Callum Wilson,
Arsenal,West Ham,1-0, Emirates Stadium,http://www.premierleague.com/match/46885,2019/20,Alexandre Lacazette,78,,,Mesut Özil,78,,,28,18,6,7,11,9,2,2,621,264,68.9,31.1,9,14,0.0,0.0,13,11,799,448,1,2,0.0,0.0,Martin Atkinson,1583593200000,60335,4-2-3-1,4-4-2,Pierre-Emerick Aubameyang,Mark Noble,"Bernd Leno,Bukayo Saka,Sokratis,Pablo Marí,David Luiz,Mesut Özil,Nicolas Pépé,Pierre-Emerick Aubameyang,Granit Xhaka,Dani Ceballos,Eddie Nketiah","Emiliano Martínez,Héctor Bellerín,Gabriel Martinelli,Matteo Guendouzi,Joseph Willock,Reiss Nelson,Alexandre Lacazette","Eddie Nketiah,Nicolas Pépé,Mesut Özil","59,69,89","Alexandre Lacazette,Reiss Nelson,Héctor Bellerín","59,69,89",Sokratis,,"Lukasz Fabianski,Issa Diop,Jeremy Ngakia,Angelo Ogbonna,Aaron Cresswell,Pablo Fornals,Declan Rice,Jarrod Bowen,Mark Noble,Sébastien Haller,Michail Antonio","Darren Randolph,Fabián Balbuena,Pablo Zabaleta,Robert Snodgrass,Tomas Soucek,Felipe Anderson,Manuel Lanzini","Mark Noble,Pablo Fornals,Jarrod Bowen","81,87,90","Tomas Soucek,Felipe Anderson,Robert Snodgrass","81,87,90","Pablo Fornals,Michail Antonio",
Crystal Palace,Watford,1-0, Selhurst Park,http://www.premierleague.com/match/46888,2019/20,Jordan Ayew,28,,,James McArthur,28,,,33,18,8,8,12,16,2,1,371,464,44.2,55.8,10,10,0.0,0.0,21,22,604,665,4,4,0.0,0.0,Anthony Taylor,1583593200000,25461,4-3-3,4-2-3-1,Gary Cahill,Troy Deeney,"Vicente Guaita,Patrick van Aanholt,Joel Ward,Scott Dann,Gary Cahill,James McArthur,James McCarthy,Cheikhou Kouyaté,Wilfried Zaha,Christian Benteke,Jordan Ayew","Wayne Hennessey,Jeffrey Schlupp,Martin Kelly,Max Meyer,Andros Townsend,Luka Milivojevic,Jairo Riedewald",James McArthur,70,Luka Milivojevic,70,"Cheikhou Kouyaté,Wilfried Zaha,Christian Benteke,Jordan Ayew",,"Ben Foster,Adam Masina,Craig Cathcart,Kiko Femenía,Christian Kabasele,Roberto Pereyra,Abdoulaye Doucouré,Etienne Capoue,Will Hughes,Ismaila Sarr,Troy Deeney","Heurelho Gomes,Craig Dawson,Adrian Mariappa,Nathaniel Chalobah,Ignacio Pussetto,Danny Welbeck,Andre Gray","Roberto Pereyra,Troy Deeney,Will Hughes","74,74,84","Danny Welbeck,Ignacio Pussetto,Andre Gray","74,74,84","Kiko Femenía,Abdoulaye Doucouré,Etienne Capoue,Ignacio Pussetto",
Sheffield Utd,Norwich,1-0, Bramall Lane,http://www.premierleague.com/match/46892,2019/20,Billy Sharp,36,,,John Lundstram,36,,,31,27,10,5,12,8,1,3,359,519,41.8,58.2,10,12,0.0,0.0,14,18,576,736,0.0,0.0,0.0,0.0,Simon Hooper,1583593200000,31379,3-5-2,4-2-3-1,Billy Sharp,Grant Hanley,"Dean Henderson,Jack O'Connell,John Egan,Chris Basham,John Fleck,Oliver Norwood,John Lundstram,George Baldock,Enda Stevens,Billy Sharp,Oliver McBurnie","Michael Verrips,Panagiotis Retsos,Phil Jagielka,Sander Berge,Ben Osborn,David McGoldrick,Lys Mousset","Enda Stevens,Billy Sharp,Oliver McBurnie","61,71,90","Ben Osborn,David McGoldrick,Sander Berge","61,71,90",,,"Tim Krul,Jamal Lewis,Grant Hanley,Max Aarons,Ben Godfrey,Kenny McLean,Emiliano Buendía,Alexander Tettey,Todd Cantwell,Ondrej Duda,Teemu Pukki","Michael McGovern,Christoph Zimmermann,Lukas Rupp,Marco Stiepermann,Mario Vrancic,Josip Drmic,Adam Idah","Todd Cantwell,Alexander Tettey,Ondrej Duda","45,66,87","Josip Drmic,Mario Vrancic,Adam Idah","45,66,87",,
Southampton,Newcastle,0-1, St. Mary's Stadium,http://www.premierleague.com/match/46893,2019/20,,,Allan Saint-Maximin,79,,,,,18,18,5,8,14,15,0,2,298,500,38,62,6,14,0.0,0.0,19,15,502,696,0,3,1,0,Graham Scott,1583593200000,30096,4-4-2,4-4-2,Pierre-Emile Højbjerg,Jamaal Lascelles,"Alex McCarthy,Jack Stephens,Jan Bednarek,Ryan Bertrand,Yan Valery,Sofiane Boufal,James Ward-Prowse,Moussa Djenepo,Pierre-Emile Højbjerg,Shane Long,Danny Ings","Angus Gunn,Kyle Walker-Peters,Jannik Vestergaard,Kevin Danso,Oriol Romeu,Michael Obafemi,Che Adams","Shane Long,Sofiane Boufal","77,85","Che Adams,Michael Obafemi","77,85",,Moussa Djenepo,"Martin Dubravka,Javier Manquillo,Federico Fernández,Jamaal Lascelles,Danny Rose,Allan Saint-Maximin,Jonjo Shelvey,Isaac Hayden,Matt Ritchie,Dwight Gayle,Miguel Almirón","Karl Darlow,DeAndre Yedlin,Fabian Schär,Sean Longstaff,Valentino Lazaro,Nabil Bentaleb,Joelinton","Matt Ritchie,Javier Manquillo,Isaac Hayden","61,72,79","Joelinton,Valentino Lazaro,Sean Longstaff","61,72,79","Javier Manquillo,Matt Ritchie,Joelinton",
Wolves,Brighton,0-0, Molineux Stadium,http://www.premierleague.com/match/46894,2019/20,,,,,,,,,14,21,2,0,4,7,0.0,0.0,458,606,43.1,56.9,11,7,0.0,0.0,22,23,668,821,1,3,0.0,0.0,Andre Marriner,1583593200000,31490,3-5-2,4-3-3,Conor Coady,Lewis Dunk,"Rui Patrício,Romain Saïss,Willy Boly,Conor Coady,Rúben Vinagre,Rúben Neves,Matt Doherty,Leander Dendoncker,João Moutinho,Diogo Jota,Raúl Jiménez","John Ruddy,Maximilian Kilman,Oskar Buur,Bruno Jordão,Daniel Podence,Adama Traoré,Pedro Neto","Rúben Neves,Diogo Jota","64,74","Adama Traoré,Daniel Podence","64,74",Romain Saïss,,"Mat Ryan,Dan Burn,Adam Webster,Martín Montoya,Lewis Dunk,Davy Pröpper,Yves Bissouma,Aaron Mooy,Solly March,Leandro Trossard,Neal Maupay","David Button,Shane Duffy,Pascal Groß,Dale Stephens,Alexis Mac Allister,Glenn Murray,Alireza Jahanbakhsh","Solly March,Leandro Trossard,Aaron Mooy","80,82,89","Alexis Mac Allister,Alireza Jahanbakhsh,Dale Stephens","80,82,89","Dan Burn,Martín Montoya,Lewis Dunk",
Burnley,Spurs,1-1, Turf Moor,http://www.premierleague.com/match/46886,2019/20,Chris Wood,13,Dele Alli,50,,,,,21,36,3,5,16,11,2,0,378,479,45,55,21,13,0.0,0.0,24,14,623,692,5,4,0.0,0.0,Jonathan Moss,1583602200000,20496,4-4-2,3-4-2-1,Ben Mee,Hugo Lloris,"Nick Pope,Phil Bardsley,James Tarkowski,Ben Mee,Charlie Taylor,Dwight McNeil,Jeff Hendrick,Ashley Westwood,Jack Cork,Chris Wood,Jay Rodriguez","Joe Hart,Erik Pieters,Kevin Long,Aaron Lennon,Robbie Brady,Josh Brownhill,Matej Vydra","Jay Rodriguez,Jeff Hendrick","68,89","Matej Vydra,Aaron Lennon","68,89","James Tarkowski,Charlie Taylor,Jeff Hendrick,Ashley Westwood,Jack Cork",,"Hugo Lloris,Toby Alderweireld,Eric Dier,Davinson Sánchez,Tanguy Ndombele,Japhet Tanganga,Jan Vertonghen,Oliver Skipp,Erik Lamela,Steven Bergwijn,Dele Alli","Paulo Gazzaniga,Serge Aurier,Lucas Moura,Giovani Lo Celso,Harry Winks,Gedson Fernandes,Ryan Sessegnon","Oliver Skipp,Tanguy Ndombele,Erik Lamela","45,45,78","Giovani Lo Celso,Lucas Moura,Serge Aurier","45,45,78","Davinson Sánchez,Erik Lamela,Steven Bergwijn,Giovani Lo Celso",
