Home,Away,score,stadium,matchlink,Season,Home_goal,Home_goal_times,Away_goal,Away_goal_times,Home_assist,Home_assist_times,Away_assist,Away_assist_times,Home_Clearances,Away_Clearances,Home_Corners,Away_Corners,Home_Fouls conceded,Away_Fouls conceded,Home_Offsides,Away_Offsides,Home_Passes,Away_Passes,Home_Possession %,Away_Possession %,Home_Shots,Away_Shots,Home_Shots on target,Away_Shots on target,Home_Tackles,Away_Tackles,Home_Touches,Away_Touches,Home_Yellow cards,Away_Yellow cards,Home_Red cards,Away_Red cards,Referee,Match_Date,Attendance,Home_formation,Away_formation,Home_captain,Away_captain,Home_starting_lineup,Home_subs_lineup,Home_subout,Home_subout_time,Home_subin,Home_subin_time,Home_yellow,Home_red,Away_starting_lineup,Away_subs_lineup,Away_subout,Away_subout_time,Away_subin,Away_subin_time,Away_yellow,Away_red
Brighton,Man City,1-4, Amex Stadium,http://www.premierleague.com/match/38678,2018/19,Glenn Murray,27,"Sergio Agüero,Aymeric Laporte,Riyad Mahrez,Ilkay Gündogan","28,38,63,72",Pascal Groß,27,"David Silva,Riyad Mahrez,David Silva","28,38,63",41,5,2,6,12,8,1,1,245,796,23.7,76.3,6,20,2,9,16,15,401,955,0,0,0,0,Michael Oliver,1557669600000,30662,4-5-1,4-4-1-1,Bruno,Vincent Kompany,"Mat Ryan,Lewis Dunk,Bruno,Bernardo,Shane Duffy,Yves Bissouma,Pascal Groß,Alireza Jahanbakhsh,Beram Kayal,Anthony Knockaert,Glenn Murray","David Button,Dan Burn,Gaëtan Bong,Martín Montoya,Jayson Molumby,Florin Andone,Jürgen Locadia","Alireza Jahanbakhsh,Glenn Murray,Bruno","67,67,84","Florin Andone,Jürgen Locadia,Martín Montoya","67,67,84",,,"Ederson,Aymeric Laporte,Kyle Walker,Oleksandr Zinchenko,Vincent Kompany,Bernardo Silva,Riyad Mahrez,David Silva,Ilkay Gündogan,Sergio Agüero,Raheem Sterling","Arijanet Muric,John Stones,Nicolás Otamendi,Danilo,Kevin De Bruyne,Gabriel Jesus,Leroy Sané","David Silva,Vincent Kompany,Kyle Walker","78,86,88","Kevin De Bruyne,Nicolás Otamendi,Danilo","78,86,88",,
Burnley,Arsenal,1-3, Turf Moor,http://www.premierleague.com/match/38679,2018/19,Ashley Barnes,65,"Pierre-Emerick Aubameyang,Pierre-Emerick Aubameyang,Eddie Nketiah","52,63,90",Johann Gudmundsson,65,"Alex Iwobi,Alex Iwobi","63,90",21,27,4,5,11,3,4,0,341,533,39.7,60.3,14,17,5,6,15,11,527,714,5,1,0,0,Mike Dean,1557669600000,21461,4-4-2,4-2-3-1,Tom Heaton,Nacho Monreal,"Tom Heaton,Charlie Taylor,Ben Mee,Matthew Lowton,James Tarkowski,Ashley Westwood,Jeff Hendrick,Dwight McNeil,Jack Cork,Ashley Barnes,Chris Wood","Joe Hart,Stephen Ward,Kevin Long,Robbie Brady,Johann Gudmundsson,Matej Vydra,Peter Crouch","Dwight McNeil,Chris Wood,Jeff Hendrick","64,77,82","Johann Gudmundsson,Peter Crouch,Robbie Brady","64,77,82","Tom Heaton,Matthew Lowton,James Tarkowski,Jack Cork,Ashley Barnes",,"Bernd Leno,Konstantinos Mavropanos,Shkodran Mustafi,Stephan Lichtsteiner,Nacho Monreal,Joseph Willock,Henrikh Mkhitaryan,Matteo Guendouzi,Alex Iwobi,Mohamed Elneny,Pierre-Emerick Aubameyang","Petr Cech,Laurent Koscielny,Sead Kolasinac,Granit Xhaka,Ainsley Maitland-Niles,Eddie Nketiah,Alexandre Lacazette","Konstantinos Mavropanos,Joseph Willock","34,62","Laurent Koscielny,Eddie Nketiah","34,62",Matteo Guendouzi,
Crystal Palace,Bournemouth,5-3, Selhurst Park,http://www.premierleague.com/match/38680,2018/19,"Michy Batshuayi,Michy Batshuayi,Jack Simpson (og),Patrick van Aanholt,Andros Townsend","24,32,37,65,80","Jefferson Lerma,Jordon Ibe,Joshua King","45,56,73","Aaron Wan-Bissaka,Wilfried Zaha,Wilfried Zaha","32,65,80","Nathaniel Clyne,Adam Smith,Chris Mepham","45,56,73",23,19,4,4,11,8,4,1,429,517,45.0,55.0,17,16,8,8,16,18,627,713,3,0,0,0,Roger East,1557669600000,25433,4-4-2,4-4-1-1,Luka Milivojevic,Steve Cook,"Vicente Guaita,Joel Ward,Martin Kelly,Aaron Wan-Bissaka,Patrick van Aanholt,Luka Milivojevic,James McArthur,Andros Townsend,Max Meyer,Wilfried Zaha,Michy Batshuayi","Wayne Hennessey,Nikola Tavares,Luke Dreher,Bakary Sako,Jairo Riedewald,Christian Benteke,Connor Wickham","Wilfried Zaha,Michy Batshuayi,Andros Townsend","87,89,90","Bakary Sako,Connor Wickham,Luke Dreher","87,89,90","Luka Milivojevic,James McArthur,Wilfried Zaha",,"Mark Travers,Nathaniel Clyne,Steve Cook,Jack Simpson,Adam Smith,Ryan Fraser,Jefferson Lerma,Nathan Aké,Jordon Ibe,Joshua King,Callum Wilson","Artur Boruc,Chris Mepham,Matt Butcher,Emerson Hyndman,Kyle Taylor,Lys Mousset,Sam Surridge","Jack Simpson,Jordon Ibe,Nathaniel Clyne","70,70,89","Chris Mepham,Lys Mousset,Sam Surridge","70,70,89",,
Fulham,Newcastle,0-4, Craven Cottage,http://www.premierleague.com/match/38681,2018/19,,,"Jonjo Shelvey,Ayoze Pérez,Fabian Schär,Salomón Rondón","9,11,61,90",,,"Matt Ritchie,Matt Ritchie","9,61",7,38,5,5,6,8,1,1,765,358,68.1,31.9,16,13,2,6,12,15,940,532,1,0,0,0,Kevin Friend,1557669600000,24979,4-2-3-1,5-4-1,Tom Cairney,Jamaal Lascelles,"Sergio Rico,Alfie Mawson,Cyrus Christie,Maxime Le Marchand,Joe Bryan,Tom Cairney,Floyd Ayité,André-Frank Zambo Anguissa,Ryan Sessegnon,Calum Chambers,Aleksandar Mitrovic","Fabri,Steven Sessegnon,Tim Ream,Ryan Babel,Neeskens Kebano,Luca De La Torre,Harvey Elliott","Cyrus Christie,Floyd Ayité,Ryan Sessegnon","65,74,81","Ryan Babel,Harvey Elliott,Neeskens Kebano","65,74,81",Joe Bryan,,"Martin Dubravka,Jamaal Lascelles,Matt Ritchie,Isaac Hayden,Fabian Schär,Paul Dummett,Christian Atsu,Mohamed Diamé,Ayoze Pérez,Jonjo Shelvey,Salomón Rondón","Karl Darlow,Lewis Cass,Federico Fernández,Ciaran Clark,Kenedy,Kelland Watts,Yoshinori Muto","Christian Atsu,Isaac Hayden,Paul Dummett","66,69,81","Yoshinori Muto,Federico Fernández,Kenedy","66,69,81",,
Leicester,Chelsea,0-0, King Power Stadium,http://www.premierleague.com/match/38682,2018/19,,,,,,,,,17,16,4,5,9,8,1,2,470,533,46.9,53.1,9,14,3,4,16,12,644,711,0,1,0,0,Anthony Taylor,1557669600000,32140,4-1-4-1,4-3-3,Kasper Schmeichel,César Azpilicueta,"Kasper Schmeichel,Ben Chilwell,Ricardo Pereira,Jonny Evans,Harry Maguire,Marc Albrighton,Wilfred Ndidi,James Maddison,Youri Tielemans,Hamza Choudhury,Jamie Vardy","Danny Ward,Wes Morgan,Danny Simpson,Harvey Barnes,Demarai Gray,Kelechi Iheanacho,Shinji Okazaki","Wilfred Ndidi,Marc Albrighton,James Maddison","66,76,84","Shinji Okazaki,Danny Simpson,Harvey Barnes","66,76,84",,,"Willy Caballero,César Azpilicueta,Marcos Alonso,Davide Zappacosta,David Luiz,Jorginho,Ruben Loftus-Cheek,Ross Barkley,Pedro,Gonzalo Higuaín,Willian","Kepa Arrizabalaga,Emerson,Marc Guehi,Andreas Christensen,Mateo Kovacic,Eden Hazard,Olivier Giroud","Willian,Ross Barkley,Gonzalo Higuaín","69,76,84","Eden Hazard,Mateo Kovacic,Olivier Giroud","69,76,84",Jorginho,
Liverpool,Wolves,2-0, Anfield,http://www.premierleague.com/match/38683,2018/19,"Sadio Mané,Sadio Mané","17,81",,,Trent Alexander-Arnold,81,,,15,20,4,1,3,11,3,1,603,427,59.0,41.0,13,7,5,2,16,14,784,581,0,2,0,0,Martin Atkinson,1557669600000,53331,4-3-3,3-5-2,Jordan Henderson,Conor Coady,"Alisson,Andrew Robertson,Virgil van Dijk,Trent Alexander-Arnold,Joel Matip,Jordan Henderson,Fabinho,Georginio Wijnaldum,Mohamed Salah,Divock Origi,Sadio Mané","Simon Mignolet,Joseph Gomez,Dejan Lovren,James Milner,Alex Oxlade-Chamberlain,Xherdan Shaqiri,Daniel Sturridge","Divock Origi,Andrew Robertson,Georginio Wijnaldum","64,84,88","James Milner,Joseph Gomez,Alex Oxlade-Chamberlain","64,84,88",,,"Rui Patrício,Ryan Bennett,Conor Coady,Willy Boly,João Moutinho,Rúben Neves,Matt Doherty,Leander Dendoncker,Jonny,Diogo Jota,Raúl Jiménez","John Ruddy,Maximilian Kilman,Rúben Vinagre,Morgan Gibbs-White,Hélder Costa,Adama Traoré,Ivan Cavaleiro","Matt Doherty,Jonny,João Moutinho","80,84,84","Adama Traoré,Morgan Gibbs-White,Rúben Vinagre","80,84,84","Ryan Bennett,Diogo Jota",
Man Utd,Cardiff,0-2, Old Trafford,http://www.premierleague.com/match/38684,2018/19,,,"Nathaniel Mendez-Laing,Nathaniel Mendez-Laing","23,54",,,Josh Murphy,54,13,20,11,2,9,6,3,0,620,223,73.6,26.4,26,13,10,4,15,16,811,404,3,3,0,0,Jonathan Moss,1557669600000,74457,4-3-1-2,4-4-1-1,Ashley Young,Sean Morrison,"David de Gea,Diogo Dalot,Ashley Young,Chris Smalling,Phil Jones,Jesse Lingard,Scott McTominay,Andreas Pereira,Paul Pogba,Marcus Rashford,Mason Greenwood","Sergio Romero,Antonio Valencia,James Garner,Fred,Juan Mata,Angel Gomes,Anthony Martial","Phil Jones,Andreas Pereira,Diogo Dalot","45,74,74","Anthony Martial,Angel Gomes,Antonio Valencia","45,74,74","Jesse Lingard,Andreas Pereira,Paul Pogba",,"Neil Etheridge,Sean Morrison,Joe Bennett,Lee Peltier,Bruno Ecuele Manga,Aron Gunnarsson,Leandro Bacuna,Josh Murphy,Nathaniel Mendez-Laing,Kenneth Zohore,Bobby De Cordova-Reid","Brian Murphy,Greg Cunningham,Jazz Richards,Kadeem Harris,Danny Ward,David Junior Hoilett,Rhys Healey","Aron Gunnarsson,Kenneth Zohore,Nathaniel Mendez-Laing","58,74,80","Jazz Richards,Danny Ward,David Junior Hoilett","58,74,80","Sean Morrison,Leandro Bacuna,Josh Murphy",
Southampton,Huddersfield,1-1, St. Mary's Stadium,http://www.premierleague.com/match/38685,2018/19,Nathan Redmond,41,Alex Pritchard,55,Danny Ings,41,,,16,26,4,3,8,6,1,2,447,388,53.7,46.3,10,10,3,3,12,27,659,579,0,1,0,0,Lee Probert,1557669600000,30367,4-4-2,4-3-3,Pierre-Emile Højbjerg,Christopher Schindler,"Angus Gunn,Yan Valery,Jan Bednarek,Jack Stephens,Ryan Bertrand,Nathan Redmond,James Ward-Prowse,Pierre-Emile Højbjerg,Oriol Romeu,Shane Long,Danny Ings","Fraser Forster,Matt Targett,Alfie Jones,Stuart Armstrong,Mario Lemina,Josh Sims,Charlie Austin","Shane Long,Danny Ings,Oriol Romeu","45,76,84","Matt Targett,Charlie Austin,Josh Sims","45,76,84",,,"Joel Coleman,Jon Gorenc Stankovic,Christopher Schindler,Terence Kongolo,Tommy Smith,Aaron Mooy,Jonathan Hogg,Juninho Bacuna,Karlan Grant,Alex Pritchard,Isaac Mbenza","Jonas Lössl,Demeaco Duhaney,Matty Daly,Aaron Rowe,Elias Kachunga,Steve Mounie,Adama Diakhaby","Juninho Bacuna,Alex Pritchard","66,86","Matty Daly,Steve Mounie","66,86",Jonathan Hogg,
Spurs,Everton,2-2, Tottenham Hotspur Stadium,http://www.premierleague.com/match/38686,2018/19,"Eric Dier,Christian Eriksen","3,75","Theo Walcott,Cenk Tosun","69,72",,,Gylfi Sigurdsson,69,17,17,7,4,10,13,2,1,543,436,55.0,45.0,11,16,3,9,22,16,740,638,0,2,0,0,Andre Marriner,1557669600000,60124,4-2-3-1,4-2-3-1,Hugo Lloris,Gylfi Sigurdsson,"Hugo Lloris,Toby Alderweireld,Ben Davies,Eric Dier,Kyle Walker-Peters,Dele Alli,Lucas Moura,Erik Lamela,Moussa Sissoko,Christian Eriksen,Fernando Llorente","Paulo Gazzaniga,Kieran Trippier,Serge Aurier,George Marsh,Victor Wanyama,Oliver Skipp,Vincent Janssen","Dele Alli,Erik Lamela,Fernando Llorente","45,77,77","Victor Wanyama,Oliver Skipp,Vincent Janssen","45,77,77",,,"Jordan Pickford,Michael Keane,Kurt Zouma,Yerry Mina,Lucas Digne,Theo Walcott,Bernard,Morgan Schneiderlin,Gylfi Sigurdsson,Idrissa Gueye,Cenk Tosun","Maarten Stekelenburg,Leighton Baines,Jonjoe Kenny,Phil Jagielka,André Gomes,Tom Davies,Ademola Lookman","Bernard,Idrissa Gueye","65,65","Ademola Lookman,André Gomes","65,65","Lucas Digne,Morgan Schneiderlin",
Watford,West Ham,1-4, Vicarage Road,http://www.premierleague.com/match/38687,2018/19,Gerard Deulofeu,46,"Mark Noble,Manuel Lanzini,Marko Arnautovic,Mark Noble","15,39,71,78",,,Michail Antonio,15,12,34,7,2,10,10,4,1,419,460,48.3,51.7,17,16,8,9,17,15,586,674,1,0,1,0,Chris Kavanagh,1557669600000,20067,4-2-2-2,4-1-4-1,Troy Deeney,Mark Noble,"Ben Foster,Craig Cathcart,José Holebas,Christian Kabasele,Kiko Femenía,Roberto Pereyra,Abdoulaye Doucouré,Will Hughes,Etienne Capoue,Gerard Deulofeu,Troy Deeney","Heurelho Gomes,Daryl Janmaat,Adrian Mariappa,Adam Masina,Nathaniel Chalobah,Isaac Success,Andre Gray","Gerard Deulofeu,Will Hughes,Christian Kabasele","59,67,78","Andre Gray,Adam Masina,Adrian Mariappa","59,67,78",Etienne Capoue,José Holebas,"Lukasz Fabianski,Ryan Fredericks,Issa Diop,Arthur Masuaku,Fabián Balbuena,Felipe Anderson,Michail Antonio,Mark Noble,Manuel Lanzini,Declan Rice,Marko Arnautovic","Adrián,Pablo Zabaleta,Angelo Ogbonna,Carlos Sánchez,Jack Wilshere,Robert Snodgrass,Chicharito","Ryan Fredericks,Manuel Lanzini,Declan Rice","26,67,79","Pablo Zabaleta,Jack Wilshere,Carlos Sánchez","26,67,79",,
