player_name,position,country,link,Team,dob,Number,Height,pid
Max Aarons,Defender,  England,http://www.premierleague.com/players/19970/Max-Aarons/overview,Norwich City,04/01/2000,2,178cm,232980
Abdul Rahman Baba,Defender,  Ghana,http://www.premierleague.com/players/13279/Abdul-Rahman-Baba/overview,Defender,02/07/1994,,180cm,118335
Tammy Abraham,Forward,  England,http://www.premierleague.com/players/13286/Tammy-Abraham/overview,Chelsea,02/10/1997,9,190cm,173879
Adam Smith,Defender,  England,http://www.premierleague.com/players/3512/Adam-Smith/overview,AFC Bournemouth,29/04/1991,15,180cm,54469
Che Adams,Midfielder,  England,http://www.premierleague.com/players/10905/Che-Adams/overview,Southampton,13/07/1996,,175cm,200439
Dennis Adeniran,Midfielder,  England,http://www.premierleague.com/players/14674/Dennis-Adeniran/overview,Everton,02/01/1999,,180cm,183645
Albert Adomah,Midfielder,  Ghana,http://www.premierleague.com/players/9131/Albert-Adomah/overview,Midfielder,13/12/1987,,185cm,49773
Adrián,Goalkeeper,  Spain,http://www.premierleague.com/players/4852/Adrián,Liverpool,03/01/1987,13,190cm,60706
Adrien Silva,Midfielder,  Portugal,http://www.premierleague.com/players/11357/Adrien-Silva/overview,Midfielder,15/03/1989,,175cm,46483
Benik Afobe,Forward,  The Democratic Republic Of Congo,http://www.premierleague.com/players/4040/Benik-Afobe/overview,Forward,12/02/1993,,183cm,88498
Sergio Agüero,Forward,  Argentina,http://www.premierleague.com/players/4328/Sergio-Agüero/overview,Manchester City,02/06/1988,10,173cm,37572
Daniel Agyei,Forward,  England,http://www.premierleague.com/players/10559/Daniel-Agyei/overview,Forward,01/06/1997,,183cm,207725
Soufyan Ahannach,Midfielder,  Netherlands,http://www.premierleague.com/players/24695/Soufyan-Ahannach/overview,Midfielder,09/09/1995,,173cm,134293
Ahmed El Mohamady,Defender,  Egypt,http://www.premierleague.com/players/4183/Ahmed-El-Mohamady/overview,Aston Villa,09/09/1987,27,183cm,37339
Albian Ajeti,Forward,  Switzerland,http://www.premierleague.com/players/5248/Albian-Ajeti/overview,West Ham United,26/02/1997,27,183cm,181008
Nathan Aké,Defender,  Netherlands,http://www.premierleague.com/players/4499/Nathan-Aké/overview,AFC Bournemouth,18/02/1995,5,180cm,126184
Alberto Moreno,Defender,  Spain,http://www.premierleague.com/players/7219/Alberto-Moreno/overview,Defender,05/07/1992,,171cm,100059
Marc Albrighton,Midfielder,  England,http://www.premierleague.com/players/3564/Marc-Albrighton/overview,Leicester City,18/11/1989,11,175cm,51938
Toby Alderweireld,Defender,  Belgium,http://www.premierleague.com/players/4916/Toby-Alderweireld/overview,Tottenham Hotspur,02/03/1989,4,187cm,55605
Aleix García,Midfielder,  Spain,http://www.premierleague.com/players/12946/Aleix-García/overview,Midfielder,28/06/1997,,173cm,178871
Trent Alexander-Arnold,Defender,  England,http://www.premierleague.com/players/14732/Trent-Alexander-Arnold/overview,Liverpool,07/10/1998,66,175cm,169187
Ali Koiki,Defender,  England,http://www.premierleague.com/players/55603/Ali-Koiki/overview,Burnley,22/08/1999,42,,432793
Alisson,Goalkeeper,  Brazil,http://www.premierleague.com/players/20559/Alisson,Liverpool,02/10/1992,1,191cm,116535
Allan,Midfielder,  Brazil,http://www.premierleague.com/players/13984/Allan,Midfielder,03/03/1997,,172cm,214275
Miguel Almirón,Midfielder,  Paraguay,http://www.premierleague.com/players/54312/Miguel-Almirón/overview,Newcastle United,10/02/1994,24,174cm,179018
Marcos Alonso,Defender,  Spain,http://www.premierleague.com/players/4093/Marcos-Alonso/overview,Chelsea,28/12/1990,3,188cm,82263
Steven Alzate,Forward,  Colombia,http://www.premierleague.com/players/20723/Steven-Alzate/overview,Brighton and Hove Albion,08/09/1998,46,180cm,235382
Ibrahim Amadou,Midfielder,  Cameroon,http://www.premierleague.com/players/49990/Ibrahim-Amadou/overview,Midfielder,06/04/1993,,183cm,128348
Daniel Amartey,Defender,  Ghana,http://www.premierleague.com/players/12306/Daniel-Amartey/overview,Leicester City,21/12/1994,,186cm,155569
Luke Amos,Midfielder,  England,http://www.premierleague.com/players/15128/Luke-Amos/overview,Midfielder,23/02/1997,,179cm,168764
Fabián Balbuena,Defender,  Paraguay,http://www.premierleague.com/players/32435/Fabián-Balbuena/overview,West Ham United,23/08/1991,,188cm,166640
George Baldock,Defender,  England,http://www.premierleague.com/players/9169/George-Baldock/overview,Sheffield United,09/03/1993,2,178cm,82691
Folarin Balogun,Forward,  England,http://www.premierleague.com/players/19871/Folarin-Balogun/overview,Arsenal,03/07/2001,38,178cm,232223
Tudor Baluta,Defender,  Romania,http://www.premierleague.com/players/63655/Tudor-Baluta/overview,Defender,27/03/1999,,191cm,213056
Beni Baningime,Midfielder,  The Democratic Republic Of Congo,http://www.premierleague.com/players/14623/Beni-Baningime/overview,Everton,09/09/1998,34,178cm,195855
Scott Banks,Midfielder,  Scotland,http://www.premierleague.com/players/74776/Scott-Banks/overview,Midfielder,26/09/2001,,,462831
